ID,English
ACCOLADE_ALLQUESTSCOMPLETED_FEMALE,"Journeyman"
ACCOLADE_ALLQUESTSCOMPLETED_MALE,"Journeyman"
ACCOLADE_COOPERATIVECARDSPLAYEDMORETHANTWICE_FEMALE,"Diplomat"
ACCOLADE_COOPERATIVECARDSPLAYEDMORETHANTWICE_MALE,"Diplomat"
ACCOLADE_EQUIPPEDTHREEORMOREFOLLOWERS_FEMALE,"Socialite"
ACCOLADE_EQUIPPEDTHREEORMOREFOLLOWERS_MALE,"Socialite"
ACCOLADE_EQUIPPEDTHREEORMORETREASURES_FEMALE,"Collector"
ACCOLADE_EQUIPPEDTHREEORMORETREASURES_MALE,"Collector"
ACCOLADE_LEASTGOLDSPENT_FEMALE,"Thrifty"
ACCOLADE_LEASTGOLDSPENT_MALE,"Thrifty"
ACCOLADE_MORETHAN4SETTLEMENTSHELDATANYPOINT_FEMALE,"Landlord"
ACCOLADE_MORETHAN4SETTLEMENTSHELDATANYPOINT_MALE,"Landlord"
ACCOLADE_MOSTAPSPENTINSTEALTH_FEMALE,"Shadow"
ACCOLADE_MOSTAPSPENTINSTEALTH_MALE,"Shadow"
ACCOLADE_MOSTBANESKILLEDINCOMBAT_FEMALE,"Vanquisher"
ACCOLADE_MOSTBANESKILLEDINCOMBAT_MALE,"Vanquisher"
ACCOLADE_MOSTDEATHS_FEMALE,"Martyr"
ACCOLADE_MOSTDEATHS_MALE,"Martyr"
ACCOLADE_MOSTGOLDEARNED_FEMALE,"Goldfinger"
ACCOLADE_MOSTGOLDEARNED_MALE,"Goldfinger"
ACCOLADE_MOSTHEROESKILLEDINCOMBAT_FEMALE,"Destroyer"
ACCOLADE_MOSTHEROESKILLEDINCOMBAT_MALE,"Destroyer"
ACCOLADE_MOSTKINGSGUARDSKILLEDINCOMBAT_FEMALE,"Infamous"
ACCOLADE_MOSTKINGSGUARDSKILLEDINCOMBAT_MALE,"Infamous"
ACCOLADE_MOSTROTGAINED_FEMALE,"Harbinger"
ACCOLADE_MOSTROTGAINED_MALE,"Harbinger"
ACCOLADE_MOSTROTGAINEDFROMSPELLS_FEMALE,"Necromancer"
ACCOLADE_MOSTROTGAINEDFROMSPELLS_MALE,"Necromancer"
ACCOLADE_MOSTROTGIVENTOOTHERS_FEMALE,"Corruptor"
ACCOLADE_MOSTROTGIVENTOOTHERS_MALE,"Corruptor"
ACCOLADE_MOSTSETTLEMENTSCAPTURED_FEMALE,"Conqueror"
ACCOLADE_MOSTSETTLEMENTSCAPTURED_MALE,"Conqueror"
ACCOLADE_MOSTSPELLKILLS_FEMALE,"Warlock"
ACCOLADE_MOSTSPELLKILLS_MALE,"Warlock"
ACCOLADE_MOSTSPELLPERILSPLAYED_FEMALE,"Sorcerer"
ACCOLADE_MOSTSPELLPERILSPLAYED_MALE,"Sorcerer"
ACCOLADE_MOSTTILESWALKEDACROSS_FEMALE,"Wanderer"
ACCOLADE_MOSTTILESWALKEDACROSS_MALE,"Wanderer"
ACCOLADE_MOSTTRICKERYKILLS_FEMALE,"Assassin"
ACCOLADE_MOSTTRICKERYKILLS_MALE,"Assassin"
ACCOLADE_MOSTTRICKERYPERILSPLAYED_FEMALE,"Strategist"
ACCOLADE_MOSTTRICKERYPERILSPLAYED_MALE,"Strategist"
ACCOLADE_MOSTWOUNDSHEALED_FEMALE,"Healer"
ACCOLADE_MOSTWOUNDSHEALED_MALE,"Healer"
ACCOLADE_NOHEROKILLS_FEMALE,"Pacifist"
ACCOLADE_NOHEROKILLS_MALE,"Pacifist"
ACCOLADE_NONE_FEMALE,"Unremarkable"
ACCOLADE_NONE_MALE,"Unremarkable"
ACCOLADE_NOSPELLSCAST_FEMALE,"Pariah"
ACCOLADE_NOSPELLSCAST_MALE,"Pariah"
ACCOLADE_NOTRICKERYCARDSPLAYED_FEMALE,"Purist"
ACCOLADE_NOTRICKERYCARDSPLAYED_MALE,"Purist"
ACCOLADE_SQUIRE_FEMALE_1,"Squire"
ACCOLADE_SQUIRE_FEMALE_2,"Underdog"
ACCOLADE_SQUIRE_MALE_1,"Squire"
ACCOLADE_SQUIRE_MALE_2,"Underdog"
ACCOLADE_ZERODEATHS_FEMALE,"Immortal"
ACCOLADE_ZERODEATHS_MALE,"Immortal"
ACH_100_001_DESCRIPTION,"Complete Armello's Prologue."
ACH_100_001_TITLE,"Once Upon a Time..."
ACH_100_002_DESCRIPTION,"Win a game with Thane of the Wolf Clan."
ACH_100_002_TITLE,"The Winter Wolf"
ACH_100_003_DESCRIPTION,"Win a game with Sana of the Bear Clan."
ACH_100_003_TITLE,"Forest Sister"
ACH_100_004_DESCRIPTION,"Win a game with Amber of the Rabbit Clan."
ACH_100_004_TITLE,"The Far Seeker"
ACH_100_005_DESCRIPTION,"Win a game with Mercurio of the Rat Clan."
ACH_100_005_TITLE,"The Grinning Blade"
ACH_100_006_DESCRIPTION,"Win a game with River of the Wolf Clan."
ACH_100_006_TITLE,"Howling Arrow"
ACH_100_007_DESCRIPTION,"Win a game with Brun of the Bear Clan."
ACH_100_007_TITLE,"Oakbreaker"
ACH_100_008_DESCRIPTION,"Win a game with Barnaby of the Rabbit Clan."
ACH_100_008_TITLE,"Screwloose"
ACH_100_009_DESCRIPTION,"Win a game with Zosha of the Rat Clan."
ACH_100_009_TITLE,"The Whisper"
ACH_100_010_DESCRIPTION,"Win a game with a Kingslayer Victory."
ACH_100_010_TITLE,"Kingslayer"
ACH_100_011_DESCRIPTION,"Win a game with a Prestige Victory"
ACH_100_011_TITLE,"Royal Steward"
ACH_100_012_DESCRIPTION,"Win a game with a Rot Victory."
ACH_100_012_TITLE,"Blackheart"
ACH_100_013_DESCRIPTION,"Win a game with a Spirit Stone Victory."
ACH_100_013_TITLE,"Spirit Walker"
ACH_100_014_DESCRIPTION,"Kill the King in Battle, without taking any Wounds."
ACH_100_014_TITLE,"Fortified Regicide"
ACH_100_015_DESCRIPTION,"Win a game of Armello without dying."
ACH_100_015_TITLE,"Art of War"
ACH_100_016_DESCRIPTION,"Win a game with a Prestige Victory on the 9th Day or later."
ACH_100_016_TITLE,"War of Attrition"
ACH_100_017_DESCRIPTION,"As the Prestige Leader, attack the King."
ACH_100_017_TITLE,"Hyena in the Pack"
ACH_100_018_DESCRIPTION,"Win a game of Armello without killing another Hero."
ACH_100_018_TITLE,"Diplomat"
ACH_100_019_DESCRIPTION,"Pierce through 3 Shields with Thane's Hero Power."
ACH_100_019_TITLE,"Alpha"
ACH_100_020_DESCRIPTION,"Defeat a Corrupted Hero with Sana's Hero Power."
ACH_100_020_TITLE,"Force of Nature"
ACH_100_021_DESCRIPTION,"As Amber, have 3 Equipped Treasures and 3 Recruited Followers."
ACH_100_021_TITLE,"Entourage"
ACH_100_022_DESCRIPTION,"Steal another Hero's last Gold using Mercurio's Hero power."
ACH_100_022_TITLE,"Loose Change"
ACH_100_023_DESCRIPTION,"Annihilate another Hero with Brun's Hero power active."
