ID,SimplifiedChinese
UI_CARD_GALLERY_NEW,"新消息"
UI_SKIP,"跳过"
CARD_FOL12_FLAVORTEXT,"你太厉害了。我会为你去死--什么？呃呃…不，我是说…嘿，伙伴，看你的个头！"
CARD_FOL12_FLAVORTEXTAUTHOR,"~ 皮卡·波茨"
STATUSFEED_PICKPOCKET,"<from_creature> 翻开 <to_creature> 的口袋，偷走一张牌。"
TOOLTIP_HEROPOWERTWISS_BODYTEXT,"可在宫殿以外的任何地方躲避。在逃跑时，特威斯从对手身上偷走 1 张牌。"
TOOLTIP_HEROPOWERTWISS_HEADINGTEXT,"扒手"
TOOLTIP_HEROPOWERSYLAS_BODYTEXT,"在战斗中每杀死一名国王的守卫，西莱斯获得 +1 把剑。勇士死亡时增益将会消失。"
TOOLTIP_HEROPOWERSYLAS_HEADINGTEXT,"屠夫"
TOOLTIP_HEROPOWERSCARLET_BODYTEXT,"斯卡利特每救出一个被恐吓的聚落时，都会抽到一张追随者卡牌。"
TOOLTIP_HEROPOWERSCARLET_HEADINGTEXT,"革命家"
TOOLTIP_HEROPOWERHORACE_BODYTEXT,"贺拉斯移动到国王守卫的瓦片上时，如果他有赏金，国王的守卫将和他进行瓦片交易。"
TOOLTIP_HEROPOWERHORACE_HEADINGTEXT,"第 9 位骑士"
ACCOLADE_ALLQUESTSCOMPLETED_FEMALE,"游侠"
ACCOLADE_ALLQUESTSCOMPLETED_MALE,"游侠"
ACCOLADE_COOPERATIVECARDSPLAYEDMORETHANTWICE_FEMALE,"外交家"
ACCOLADE_COOPERATIVECARDSPLAYEDMORETHANTWICE_MALE,"外交家"
ACCOLADE_EQUIPPEDTHREEORMOREFOLLOWERS_FEMALE,"社交家"
ACCOLADE_EQUIPPEDTHREEORMOREFOLLOWERS_MALE,"社交家"
ACCOLADE_EQUIPPEDTHREEORMORETREASURES_FEMALE,"收藏家"
ACCOLADE_EQUIPPEDTHREEORMORETREASURES_MALE,"收藏家"
ACCOLADE_LEASTGOLDSPENT_FEMALE,"节俭家"
ACCOLADE_LEASTGOLDSPENT_MALE,"节俭家"
ACCOLADE_MORETHAN4SETTLEMENTSHELDATANYPOINT_FEMALE,"地主"
ACCOLADE_MORETHAN4SETTLEMENTSHELDATANYPOINT_MALE,"地主"
ACCOLADE_MOSTAPSPENTINSTEALTH_FEMALE,"隐形者"
ACCOLADE_MOSTAPSPENTINSTEALTH_MALE,"隐形者"
ACCOLADE_MOSTBANESKILLEDINCOMBAT_FEMALE,"降服者"
ACCOLADE_MOSTBANESKILLEDINCOMBAT_MALE,"降服者"
ACCOLADE_MOSTDEATHS_FEMALE,"殉道者"
